Number,Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status,Last Known Eruption
1402-08=,Acatenango,Guatemala,Guatemala,14.501,-90.876,3976,Stratovolcano,Historical,D1
0803-17=,Adatara,Japan,Honshu-Japan,37.62,140.28,1718,Stratovolcano,Historical,D1
0604-02=,Agung,Indonesia,Lesser Sunda Is,-8.342,115.508,3142,Stratovolcano,Historical,D1
1000-123,Akademia Nauk,Russia,Kamchatka,53.98,159.45,1180,Stratovolcano,Historical,D1
0805-07=,Akan,Japan,Hokkaido-Japan,43.38,144.02,1499,Caldera,Historical,D1
0803-23=,Akita-Komaga-take,Japan,Honshu-Japan,39.75,140.8,1637,Stratovolcano,Historical,D1
0803-26=,Akita-Yake-yama,Japan,Honshu-Japan,39.97,140.77,1366,Complex volcano,Historical,D1
1101-32-,Akutan,United States,Aleutian Is,54.13,-165.97,1303,Stratovolcano,Historical,D1
0900-39=,Alaid,Russia,Kuril Is,50.858,155.55,2339,Stratovolcano,Historical,D1
1503-04=,"Alcedo, Volcan",Ecuador,Galapagos,-0.43,-91.12,1130,Shield volcano,Historical,D1
0507-04=,Ambrym,Vanuatu,Vanuatu-SW Pacific,-16.25,168.12,1334,Pyroclastic shield,Historical,D1
1101-19-,Amukta,United States,Aleutian Is,52.5,-171.25,1066,Stratovolcano,Historical,D1
0507-03=,Aoba,Vanuatu,Vanuatu-SW Pacific,-15.4,167.83,1496,Shield volcano,Historical,D1
1505-107,Aracar,Argentina,Argentina,-24.27,-67.77,6082,Stratovolcano,Historical,D1
0201-126,Ardoukoba,Djibouti,Africa-NE,11.58,42.47,298,Fissure vent,Historical,D1
1405-033,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,Historical,D1
0803-11=,Asama,Japan,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1
0802-11=,Aso,Japan,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1
1101-16-,Atka,United States,Aleutian Is,52.38,-174.15,1533,Stratovolcano,Historical,D1
1103-01-,Augustine,United States,Alaska-SW,59.37,-153.42,1252,Lava dome,Historical,D1
1000-10=,Avachinsky,Russia,Kamchatka,53.255,158.83,2741,Stratovolcano,Historical,D1
0607-04=,Awu,Indonesia,Sangihe Is-Indonesia,3.67,125.5,1320,Stratovolcano,Historical,D1
1301-011,Axial Seamount,Pacific Ocean,Pacific-NE,45.95,-130,-1500,Submarine volcano,Historical,D1
1503-06=,"Azul, Cerro",Ecuador,Galapagos,-0.9,-91.42,1690,Shield volcano,Historical,D1
1507-06=,"Azul, Cerro [Quizapu]",Chile,Chile-C,-35.653,-70.761,3788,Stratovolcano,Historical,D1
0803-18=,Azuma,Japan,Honshu-Japan,37.73,140.25,2024,Stratovolcano,Historical,D1
0505-02=,Bagana,Papua New Guinea,Bougainville-SW Paci,-6.14,155.195,1750,Lava cone,Historical,D1
0605-09=,Banda Api,Pacific Ocean,Banda Sea,-4.525,129.871,640,Caldera,Historical,D1
0600-01=,Barren Island,India,Andaman Is-Indian O,12.292,93.875,354,Stratovolcano,Historical,D1
0604-01=,Batur,Indonesia,Lesser Sunda Is,-8.242,115.375,1717,Caldera,Historical,D1
0804-07=,Bayonnaise Rocks,Japan,Izu Is-Japan,31.92,139.92,10,Submarine volcano,Historical,D1
1000-25=,Bezymianny,Russia,Kamchatka,55.978,160.587,2882,Stratovolcano,Historical,D1
1101-30-,Bogoslof,United States,Aleutian Is,53.93,-168.03,101,Submarine volcano,Historical,D1
0703-01=,Bulusan,Philippines,Luzon-Philippines,12.77,124.05,1565,Stratovolcano,Historical,D1
1507-091,Callaqui,Chile,Chile-C,-37.92,-71.45,3164,Stratovolcano,Historical,D1
0204-01=,"Cameroon, Mt.",Cameroon,Africa-W,4.203,9.17,4095,Stratovolcano,Historical,D1
1507-14=,Carran-Los Venados,Chile,Chile-C,-40.35,-72.07,1114,Pyroclastic cone,Historical,D1
1508-041,Chaiten,Chile,Chile-S,-42.833,-72.646,962,Caldera,Holocene,D1
1401-12=,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,Historical,D1
1102-11-,Chiginagak,United States,Alaska Peninsula,57.13,-157,2075,Stratovolcano,Historical,D1
0900-36=,Chikurachki,Russia,Kuril Is,50.325,155.458,1816,Stratovolcano,Historical,D1
1507-07=,"Chillan, Nevados de",Chile,Chile-C,-36.863,-71.377,3212,Stratovolcano,Historical,D1
0900-26=,Chirinkotan,Russia,Kuril Is,48.98,153.48,724,Stratovolcano,Historical,D1
0900-15=,Chirpoi,Russia,Kuril Is,46.525,150.875,742,Caldera,Historical,D1
0803-22=,Chokai,Japan,Honshu-Japan,39.08,140.03,2237,Stratovolcano,Historical,D1
1301-02-,Cleft Segment,Pacific Ocean,Pacific-NE,44.83,-130.3,-2140,Submarine volcano,Historical,D1
1101-24-,Cleveland,United States,Aleutian Is,52.82,-169.95,1730,Stratovolcano,Historical,D1
1401-04=,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,Historical,D1
0606-01=,Colo [Una Una],Indonesia,Sulawesi-Indonesia,-0.17,121.608,507,Stratovolcano,Historical,D1
1404-12=,Concepcion,Nicaragua,Nicaragua,11.538,-85.622,1700,Stratovolcano,Historical,D1
1507-09=,Copahue,Chile,Chile-C,-37.85,-71.17,2965,Stratovolcano,Historical,D1
0403-101,Curacoa,Tonga,Tonga-SW Pacific,-15.62,-173.67,-33,Submarine volcano,Historical,D1
1900-03=,Deception Island,Antarctica,Antarctica,-62.97,-60.65,576,Caldera,Historical,D1
0601-23=,Dempo,Indonesia,Sumatra,-4.03,103.13,3173,Stratovolcano,Historical,D1
0704-02=,Didicas,Philippines,Luzon-N of,19.077,122.202,244,Compound volcano,Historical,D1
0603-20=,Dieng Volc Complex,Indonesia,Java,-7.2,109.92,2565,Complex volcano,Historical,D1
0608-01=,Dukono,Indonesia,Halmahera-Indonesia,1.68,127.88,1185,Complex volcano,Historical,D1
0508-001,Eastern Gemini Seamount,Pacific Ocean,SW Pacific,-20.98,170.28,-80,Submarine volcano,Historical,D1
0900-38=,Ebeko,Russia,Kuril Is,50.68,156.02,1156,Somma volcano,Historical,D1
0604-10=,Ebulobo,Indonesia,Lesser Sunda Is,-8.808,121.18,2124,Stratovolcano,Historical,D1
0900-27=,Ekarma,Russia,Kuril Is,48.958,153.93,1170,Stratovolcano,Historical,D1
1301-01-,Endeavour Ridge,Pacific Ocean,Pacific-NE,47.95,-129.1,-2400,Submarine volcano,Historical,D1
0507-06=,Epi,Vanuatu,Vanuatu-SW Pacific,-16.68,168.37,833,Stratovolcano,Historical,D1
1900-02=,Erebus,Antarctica,Antarctica,-77.53,167.17,3794,Stratovolcano,Historical,D1
0201-08=,Erta Ale,Ethiopia,Africa-NE,13.6,40.67,613,Shield volcano,Historical,D1
0101-06=,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1
1702-02=,Eyjafjallajokull,Iceland,Iceland-S,63.63,-19.62,1666,Stratovolcano,Historical,D1
0804-14=,Farallon de Pajaros,United States,Mariana Is-C Pacific,20.53,144.9,360,Stratovolcano,Historical,D1
1503-01=,Fernandina,Ecuador,Galapagos,-0.37,-91.55,1495,Shield volcano,Historical,D1
1804-01=,Fogo,Cape Verde,Cape Verde Is,14.95,-24.35,2829,Stratovolcano,Historical,D1
0303-02=,"Fournaise, Piton de la",Reunion,Indian O-W,-21.229,55.713,2631,Shield volcano,Historical,D1
1402-09=,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1
0804-133,Fukujin,Japan,Volcano Is-Japan,21.925,143.442,-217,Submarine volcano,Historical,D1
0804-13=,Fukutoku-okanoba,Japan,Volcano Is-Japan,24.28,141.52,-14,Submarine volcano,Historical,D1
1303-02-,Galapagos Rift,Pacific Ocean,Pacific-E,0.792,-86.15,-2430,Submarine volcano,Historical,D1
1501-08=,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,Historical,D1
0603-14=,Galunggung,Indonesia,Java,-7.25,108.05,2168,Stratovolcano,Historical,D1
0608-06=,Gamalama,Indonesia,Halmahera-Indonesia,0.8,127.325,1715,Stratovolcano,Historical,D1
0608-04=,Gamkonora,Indonesia,Halmahera-Indonesia,1.375,127.52,1635,Stratovolcano,Historical,D1
1101-07-,Gareloi,United States,Aleutian Is,51.78,-178.8,1573,Stratovolcano,Historical,D1
0507-02=,Gaua,Vanuatu,Vanuatu-SW Pacific,-14.27,167.5,797,Stratovolcano,Historical,D1
1000-07=,Gorely,Russia,Kamchatka,52.558,158.03,1829,Caldera,Historical,D1
1101-12-,Great Sitkin,United States,Aleutian Is,52.08,-176.13,1740,Stratovolcano,Historical,D1
1703-01=,Grimsvotn,Iceland,Iceland-NE,64.42,-17.33,1725,Caldera,Historical,D1
0900-07=,Grozny Group,Russia,Kuril Is,45.02,147.87,1211,Complex volcano,Historical,D1
1502-02=,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,Historical,D1
0304-01=,Heard,Heard I. & McDonald Is.,Indian O-S,-53.106,73.513,2745,Stratovolcano,Historical,D1
1702-07=,Hekla,Iceland,Iceland-S,63.98,-19.7,1491,Stratovolcano,Historical,D1
0403-08=,Home Reef,Tonga,Tonga-SW Pacific,-18.992,-174.775,-2,Submarine volcano,Historical,D1
1508-057,"Hudson, Cerro",Chile,Chile-S,-45.9,-72.97,1905,Stratovolcano,Historical,D1
0403-04=,Hunga Tonga-Hunga Ha'apai,Tonga,Tonga-SW Pacific,-20.57,-175.38,0,Submarine volcano,Historical,D1
0608-03=,Ibu,Indonesia,Halmahera-Indonesia,1.475,127.642,1325,Stratovolcano,Historical,D1
0603-35=,Ijen,Indonesia,Java,-8.058,114.242,2799,Stratovolcano,Historical,D1
0604-22=,Iliboleng,Indonesia,Lesser Sunda Is,-8.342,123.258,1659,Stratovolcano,Historical,D1
0604-25=,Iliwerung,Indonesia,Lesser Sunda Is,-8.54,123.59,1018,Complex volcano,Historical,D1
1405-06=,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,Historical,D1
1505-04=,Irruputuncu,Bolivia,Chile-N,-20.73,-68.55,5163,Stratovolcano,Historical,D1
0802-02=,Iwo-Tori-shima,Japan,Ryukyu Is,27.85,128.25,217,Complex volcano,Historical,D1
0804-12=,Iwo-jima,Japan,Volcano Is-Japan,24.75,141.33,161,Caldera,Historical,D1
0604-11=,Iya,Indonesia,Lesser Sunda Is,-8.88,121.63,637,Stratovolcano,Historical,D1
1403-03=,Izalco,El Salvador,El Salvador,13.813,-89.633,1950,Stratovolcano,Historical,D1
0803-01=,Izu-Tobu,Japan,Honshu-Japan,34.92,139.12,1406,Pyroclastic cone,Historical,D1
1706-01=,Jan Mayen,Jan Mayen,Atlantic-N-Jan Mayen,71.08,-8.17,2277,Stratovolcano,Historical,D1
0804-10=,Kaitoku Seamount,Japan,Volcano Is-Japan,26.122,141.102,-10,Submarine volcano,Historical,D1
1101-11-,Kanaga,United States,Aleutian Is,51.92,-177.17,1307,Stratovolcano,Historical,D1
0702-02=,Kanlaon,Philippines,Philippines-C,10.412,123.132,2435,Stratovolcano,Historical,D1
0607-02=,Karangetang [Api Siau],Indonesia,Sangihe Is-Indonesia,2.78,125.48,1784,Stratovolcano,Historical,D1
0501-03=,Karkar,Papua New Guinea,New Guinea-NE of,-4.649,145.964,1839,Stratovolcano,Historical,D1
0303-01=,Karthala,Comoros,Indian O-W,-11.75,43.38,2361,Shield volcano,Historical,D1
1000-13=,Karymsky,Russia,Kamchatka,54.05,159.43,1536,Stratovolcano,Historical,D1
1101-13-,Kasatochi,United States,Aleutian Is,52.18,-175.5,314,Stratovolcano,Historical,D1
0505-06=,Kavachi,Solomon Is.,Solomon Is-SW Pacifi,-9.02,157.95,-20,Submarine volcano,Historical,D1
0604-14=,Kelimutu,Indonesia,Lesser Sunda Is,-8.758,121.83,1640,Complex volcano,Historical,D1
0603-28=,Kelut,Indonesia,Java,-7.93,112.308,1731,Stratovolcano,Historical,D1
0601-17=,Kerinci,Indonesia,Sumatra,-1.814,101.264,3800,Stratovolcano,Historical,D1
1600-16=,Kick-'em-Jenny,Netherlands,W Indies,12.3,-61.63,-177,Submarine volcano,Historical,D1
0802-06=,Kikai,Japan,Ryukyu Is,30.78,130.28,717,Caldera,Historical,D1
1302-01-,Kilauea,United States,Hawaiian Is,19.425,-155.292,1222,Shield volcano,Historical,D1
0802-09=,Kirishima,Japan,Kyushu-Japan,31.93,130.87,1700,Shield volcano,Historical,D1
1101-02-,Kiska,United States,Aleutian Is,52.1,177.6,1220,Stratovolcano,Historical,D1
1000-26=,Kliuchevskoi,Russia,Kamchatka,56.057,160.638,4835,Stratovolcano,Historical,D1
0900-12=,Kolokol Group,Russia,Kuril Is,46.042,150.05,1328,Somma volcano,Historical,D1
0805-02=,Komaga-take,Japan,Hokkaido-Japan,42.07,140.68,1140,Stratovolcano,Historical,D1
1703-08=,Krafla,Iceland,Iceland-NE,65.73,-16.78,650,Caldera,Historical,D1
1702-09-,Krakagiger,Iceland,Iceland-S,63.98,-19.7,1491,Stratovolcano,Historical,D1
0602-00=,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,Historical,D1
0802-05=,Kuchinoerabu-jima,Japan,Ryukyu Is,30.43,130.22,649,Stratovolcano,Historical,D1
0802-12=,Kuju Group,Japan,Kyushu-Japan,33.08,131.25,1788,Stratovolcano,Historical,D1
1102-06-,Kupreanof,United States,Alaska Peninsula,56.02,-159.8,1895,Stratovolcano,Historical,D1
0803-12=,Kusatsu-Shirane,Japan,Honshu-Japan,36.62,138.55,2176,Stratovolcano,Historical,D1
0507-07=,Kuwae,Vanuatu,Vanuatu-SW Pacific,-16.829,168.536,-2,Caldera,Historical,D1
1703-05=,Kverkfjoll,Iceland,Iceland-NE,64.65,-16.72,1920,Stratovolcano,Historical,D1
1803-01-,La Palma,Spain,Canary Is,28.58,-17.83,2426,Stratovolcano,Historical,D1
1702-15-,Lakagigar,Sweden,Iceland-NE,64.42,17.33,1725,Caldera,Historical,D1
1702-10-,Lambafit,Iceland,Iceland-S,64.08,-19.4,550,Crater rows,Historical,D1
0502-01=,Langila,Papua New Guinea,New Britain-SW Pac,-5.525,148.42,1330,Complex volcano,Historical,D1
1505-10=,Lascar,Chile,Chile-N,-23.37,-67.73,5592,Stratovolcano,Historical,D1
0202-12=,"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.751,35.902,2890,Stratovolcano,Historical,D1
0604-18=,Lewotobi,Indonesia,Lesser Sunda Is,-8.53,122.775,1703,Stratovolcano,Historical,D1
0604-19=,Lewotobi Perempuan,Indonesia,Lesser Sunda Is,-8.575,122.78,1703,Stratovolcano,Historical,D1
1507-11=,Llaima,Chile,Chile-C,-38.692,-71.729,3125,Stratovolcano,Historical,D1
