Number,Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status,Last Known Eruption
1302-00-,Loihi,United States,Hawaiian Is,18.92,-155.27,-975,Submarine volcano,Historical,D1
0606-10=,Lokon-Empung,Indonesia,Sulawesi-Indonesia,1.358,124.792,1580,Stratovolcano,Historical,D1
0501-05=,Long Island,Papua New Guinea,New Guinea-NE of,-5.358,147.12,1280,Complex volcano,Historical,D1
1507-10=,Lonquimay,Chile,Chile-C,-38.377,-71.58,2865,Stratovolcano,Historical,D1
0507-05=,Lopevi,Vanuatu,Vanuatu-SW Pacific,-16.507,168.346,1413,Stratovolcano,Historical,D1
1303-08-,Macdonald,Antarctica,Austral Is-C Pacific,-28.98,-140.25,-50,Submarine volcano,Historical,D1
0606-11=,Mahawu,Indonesia,Sulawesi-Indonesia,1.358,124.858,1324,Stratovolcano,Historical,D1
0608-07=,Makian,Indonesia,Halmahera-Indonesia,0.32,127.4,1357,Stratovolcano,Historical,D1
1101-31-,Makushin,United States,Aleutian Is,53.9,-166.93,2036,Stratovolcano,Historical,D1
0501-02=,Manam,Papua New Guinea,New Guinea-NE of,-4.1,145.061,1807,Stratovolcano,Historical,D1
0601-14=,Marapi,Indonesia,Sumatra,-0.381,100.473,2891,Complex volcano,Historical,D1
1503-08=,Marchena,Ecuador,Galapagos,0.33,-90.47,343,Shield volcano,Historical,D1
0304-07-,Marion Island,South Africa,Indian O-S,-46.9,37.75,1230,Shield volcano,Historical,D1
1404-10=,Masaya,Nicaragua,Nicaragua,11.984,-86.161,635,Caldera,Historical,D1
1302-02=,Mauna Loa,United States,Hawaiian Is,19.475,-155.608,4170,Shield volcano,Historical,D1
0703-03=,Mayon,Philippines,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1
0304-011,McDonald Islands,Indian Ocean,Indian O-S,-53.03,72.6,186,Complex volcano,Historical,D1
0900-10=,Medvezhia,Russia,Kuril Is,45.38,148.83,1124,Somma volcano,Historical,D1
0603-25=,Merapi,Indonesia,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1
0403-07=,Metis Shoal,Tonga,Tonga-SW Pacific,-19.18,-174.87,43,Submarine volcano,Historical,D1
0804-131,Minami-Hiyoshi,Japan,Volcano Is-Japan,23.507,141.905,-30,Submarine volcano,Historical,D1
0804-04=,Miyake-jima,Japan,Izu Is-Japan,34.08,139.53,815,Stratovolcano,Historical,D1
0402-05-,Monowai Seamount,New Zealand,Kermadec Is,-25.887,-177.188,-100,Submarine volcano,Historical,D1
1900-081,Montagu Island,Antarctica,Antarctica,-58.417,-26.333,1370,Shield volcano,Historical,D1
1702-08-,Mundafell,Iceland,Iceland-S,63.98,-19.7,1491,Stratovolcano,Historical,D1
0804-211,NW Rota-1,United States,Mariana Is-C Pacific,14.601,144.775,-517,Submarine volcano,Historical,D1
1503-05=,"Negra, Sierra",Ecuador,Galapagos,-0.83,-91.17,1490,Shield volcano,Historical,D1
1404-07=,"Negro, Cerro",Nicaragua,Nicaragua,12.506,-86.702,728,Cinder cone,Historical,D1
0401-09=,Ngauruhoe,New Zealand,New Zealand,-39.158,175.63,2291,Stratovolcano,Historical,D1
1806-011,Nightingale Island,United Kingdom,Atlantic-S,-37.417,-12.483,365,Stratovolcano,Historical,D1
0803-09=,Niigata-Yake-yama,Japan,Honshu-Japan,36.92,138.03,2400,Lava dome,Historical,D1
0605-06=,Nila,Pacific Ocean,Banda Sea,-6.73,129.5,781,Stratovolcano,Historical,D1
0403-11=,Niuafo'ou,Tonga,Tonga-SW Pacific,-15.6,-175.63,260,Shield volcano,Historical,D1
1301-021,North Gorda Ridge,Pacific Ocean,Pacific-NE,42.67,-126.78,-3000,Submarine volcano,Historical,D1
0203-02=,Nyamuragira,"Congo, DRC",Africa-C,-1.408,29.2,3058,Shield volcano,Historical,D1
0203-03=,Nyiragongo,"Congo, DRC",Africa-C,-1.52,29.25,3470,Stratovolcano,Historical,D1
0401-05=,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,Historical,D1
1101-29-,Okmok,United States,Aleutian Is,53.42,-168.13,1073,Shield volcano,Historical,D1
0803-04=,On-take,Japan,Honshu-Japan,35.9,137.48,3063,Complex volcano,Historical,D1
0804-01=,Oshima,Japan,Izu Is-Japan,34.73,139.38,758,Stratovolcano,Historical,D1
1402-11=,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,Historical,D1
0804-17=,Pagan,United States,Mariana Is-C Pacific,18.13,145.8,570,Stratovolcano,Historical,D1
0604-15=,Paluweh,Indonesia,Lesser Sunda Is,-8.32,121.708,875,Stratovolcano,Historical,D1
1102-03-,Pavlof,United States,Alaska Peninsula,55.42,-161.9,2519,Stratovolcano,Historical,D1
0601-03=,Peuet Sague,Indonesia,Sumatra,4.914,96.329,2801,Complex volcano,Historical,D1
0703-083,Pinatubo,Philippines,Luzon-Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1
1600-21-,Piparo,Trinidad,Trinidad,10,-61,140,Mud volcano,Historical,D1
1507-04=,Planchon-Peteroa,Chile,Chile-C,-35.24,-70.57,4107,Caldera,Historical,D1
1405-04=,Poas,Costa Rica,Costa Rica,10.2,-84.233,2708,Stratovolcano,Historical,D1
1401-09=,Popocatepetl,Mexico,Mexico,19.023,-98.622,5426,Stratovolcano,Historical,D1
1501-06=,Purace,Colombia,Colombia,2.32,-76.4,4650,Stratovolcano,Historical,D1
1505-09=,Putana,Chile,Chile-N,-22.57,-67.87,5890,Stratovolcano,Historical,D1
0502-14=,Rabaul,Papua New Guinea,New Britain-SW Pac,-4.271,152.203,688,Pyroclastic shield,Historical,D1
0604-071,Ranakah,Indonesia,Lesser Sunda Is,-8.62,120.52,2100,Lava dome,Historical,D1
0402-03=,Raoul Island,New Zealand,Kermadec Is,-29.27,-177.92,516,Stratovolcano,Historical,D1
0603-34=,Raung,Indonesia,Java,-8.125,114.042,3332,Stratovolcano,Historical,D1
1103-03-,Redoubt,United States,Alaska-SW,60.48,-152.75,3108,Stratovolcano,Historical,D1
1502-01=,Reventador,Ecuador,Ecuador,-0.078,-77.656,3562,Stratovolcano,Historical,D1
1701-01=,Reykjaneshryggur,Iceland,Iceland-SW,63.67,-23.33,80,Submarine volcanoes,Historical,D1
1405-02=,Rincon de la Vieja,Costa Rica,Costa Rica,10.83,-85.324,1916,Complex volcano,Historical,D1
0604-03=,Rinjani,Indonesia,Lesser Sunda Is,-8.42,116.47,3726,Stratovolcano,Historical,D1
0501-07=,Ritter Island,Papua New Guinea,New Guinea-NE of,-5.52,148.121,140,Stratovolcano,Historical,D1
0401-10=,Ruapehu,New Zealand,New Zealand,-39.28,175.57,2797,Stratovolcano,Historical,D1
0804-201,Ruby,United States,Mariana Is-C Pacific,15.62,145.57,-230,Submarine volcano,Historical,D1
1501-02=,Ruiz,Colombia,Colombia,4.895,-75.322,5321,Stratovolcano,Historical,D1
0401-13-,Rumble III,New Zealand,New Zealand,-35.745,178.478,-140,Submarine volcano,Hydrophonic,D1
1504-006,Sabancaya,Peru,Peru,-15.783,-71.85,5967,Stratovolcanoes,Historical,D1
1504-003,Sabancaya,Peru,Peru,-15.78,-71.85,5967,Stratovolcano,Historical,D1
0802-08=,Sakura-jima,Japan,Kyushu-Japan,31.58,130.67,1117,Stratovolcano,Historical,D1
1404-02=,San Cristobal,Nicaragua,Nicaragua,12.702,-87.004,1745,Stratovolcano,Historical,D1
1403-10=,San Miguel,El Salvador,El Salvador,13.431,-88.272,2130,Stratovolcano,Historical,D1
1502-09=,Sangay,Ecuador,Ecuador,-2.03,-78.33,5230,Stratovolcano,Historical,D1
0604-05=,Sangeang Api,Indonesia,Lesser Sunda Is,-8.18,119.058,1949,Complex volcano,Historical,D1
1402-03=,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,Historical,D1
0900-24=,Sarychev Peak,Russia,Kuril Is,48.092,153.2,1496,Stratovolcano,Historical,D1
1101-18-,Seguam,United States,Aleutian Is,52.32,-172.52,1054,Stratovolcano,Historical,D1
0603-30=,Semeru,Indonesia,Java,-8.108,112.92,3676,Stratovolcano,Historical,D1
1101-06-,Semisopochnoi,United States,Aleutian Is,51.95,179.62,1221,Stratovolcano,Historical,D1
0805-04=,Shikotsu,Japan,Hokkaido-Japan,42.7,141.33,1320,Caldera,Historical,D1
1101-36-,Shishaldin,United States,Aleutian Is,54.75,-163.97,2857,Stratovolcano,Historical,D1
1000-27=,Shiveluch,Russia,Kamchatka,56.653,161.36,3283,Stratovolcano,Historical,D1
0604-27=,Sirung,Indonesia,Lesser Sunda Is,-8.51,124.148,862,Complex volcano,Historical,D1
0603-18=,Slamet,Indonesia,Java,-7.242,109.208,3432,Stratovolcano,Historical,D1
1401-021,Socorro,Mexico,Mexico-Is,18.78,-110.95,1050,Shield volcano,Historical,D1
0606-03=,Soputan,Indonesia,Sulawesi-Indonesia,1.108,124.725,1784,Stratovolcano,Historical,D1
0601-12=,Sorikmarapi,Indonesia,Sumatra,0.686,99.539,2145,Stratovolcano,Historical,D1
1600-06=,Soufriere Guadeloupe,Guadeloupe,W Indies,16.05,-61.67,1467,Stratovolcano,Historical,D1
1600-05=,Soufriere Hills,Montserrat,W Indies,16.72,-62.18,915,Stratovolcano,Historical,D1
1600-15=,Soufriere St. Vincent,St. Vincent & the Grenadines,W Indies,13.33,-61.18,1220,Stratovolcano,Historical,D1
1103-04-,Spurr,United States,Alaska-SW,61.3,-152.25,3374,Stratovolcano,Historical,D1
1201-05-,St. Helens,United States,US-Washington,46.2,-122.18,2549,Stratovolcano,Historical,D1
0101-04=,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,Historical,D1
0603-21=,Sundoro,Indonesia,Java,-7.3,109.992,3136,Stratovolcano,Historical,D1
0804-142,Supply Reef,United States,Mariana Is-C Pacific,20.13,145.1,-8,Submarine volcano,Hydrophonic,D1
0507-01=,Suretamatai,Vanuatu,Vanuatu-SW Pacific,-13.8,167.47,921,Complex volcano,Historical,D1
0802-03=,Suwanose-jima,Japan,Ryukyu Is,29.53,129.72,799,Stratovolcano,Historical,D1
0703-07=,Taal,Philippines,Luzon-Philippines,14.002,120.993,400,Stratovolcano,Historical,D1
1401-13=,Tacana,Mexico,Mexico,15.13,-92.112,4110,Stratovolcano,Historical,D1
0403-12-,Tafu-Maka,Tonga,Tonga-SW Pacific,-15.367,-174.233,-1400,Submarine volcano,Historical,D1
0601-16=,Talang,Indonesia,Sumatra,-0.978,100.679,2597,Stratovolcano,Historical,D1
0604-04=,Tambora,Indonesia,Lesser Sunda Is,-8.25,118,2850,Stratovolcano,Historical,D1
0603-09=,Tangkubanparahu,Indonesia,Java,-6.77,107.6,2084,Stratovolcano,Historical,D1
1404-04=,Telica,Nicaragua,Nicaragua,12.602,-86.845,1061,Stratovolcano,Historical,D1
0603-31=,Tengger Caldera,Indonesia,Java,-7.942,112.95,2329,Stratovolcano,Historical,D1
1802-05=,Terceira,Portugal,Azores,38.73,-27.32,1023,Stratovolcano,Historical,D1
1900-07=,Thule Islands,Antarctica,Antarctica,-59.45,-27.37,1075,Stratovolcano,Historical,D1
0900-03=,Tiatia,Russia,Kuril Is,44.358,146.27,1819,Stratovolcano,Historical,D1
0506-01=,Tinakula,Solomon Is.,Santa Cruz Is-SW Pac,-10.38,165.8,851,Stratovolcano,Historical,D1
0805-05=,Tokachi,Japan,Hokkaido-Japan,43.42,142.68,2077,Stratovolcano,Historical,D1
1000-24=,Tolbachik,Russia,Kamchatka,55.83,160.33,3682,Shield volcano,Historical,D1
0401-08=,Tongariro,New Zealand,New Zealand,-39.13,175.642,1978,Stratovolcano,Historical,D1
0804-09=,Tori-shima,Japan,Izu Is-Japan,30.48,140.32,403,Stratovolcano,Historical,D1
1102-16-,Trident,United States,Alaska Peninsula,58.23,-155.08,1864,Stratovolcano,Historical,D1
1502-08=,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1
1507-01=,Tupungatito,Chile,Chile-C,-33.4,-69.8,6000,Stratovolcano,Historical,D1
1504-02=,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,Historical,D1
1102-131,Ukinrek Maars,United States,Alaska Peninsula,57.83,-156.52,91,Maar,Historical,D1
0502-12=,Ulawun,Papua New Guinea,New Britain-SW Pac,-5.05,151.33,2334,Stratovolcano,Historical,D1
0508-03-,Unnamed,Pacific Ocean,SW Pacific,-25.78,168.63,-2400,Submarine volcano,Hydrophonic,D1
1304-04-,Unnamed,Pacific Ocean,Pacific-E,10.733,-103.583,,Submarine volcano,Historical,D1
1101-17-,Unnamed,United States,Aleutian Is,52,-173.5,0,Submarine volcano,Hydrophonic,D1
1304-05-,Unnamed,Pacific Ocean,Pacific-E,9.833,-104.3,-2500,Submarine volcano,Historical,D1
0900-16-,Unnamed,Russia,Kuril Is,46.47,151.28,-502,Submarine volcano,Hydrophonic,D1
0500-03-,Unnamed,United States,Admiralty Is-SW Paci,-3.03,147.78,-1300,Submarine volcano,Hydrophonic,D1
1303-01-,Unnamed,Pacific Ocean,Pacific-E,9.82,-104.3,-2500,Submarine volcano,Historical,D1
0403-03=,Unnamed,Tonga,Tonga-SW Pacific,-20.85,-175.53,-13,Submarine volcano,Historical,D1
0403-091,Unnamed,Tonga,Tonga-SW Pacific,-18.325,-174.365,-40,Submarine volcano,Historical,D1
0802-10=,Unzen,Japan,Kyushu-Japan,32.75,130.3,1500,Complex volcano,Historical,D1
0805-03=,Usu,Japan,Hokkaido-Japan,42.53,140.83,731,Stratovolcano,Historical,D1
1102-07-,Veniaminof,United States,Alaska Peninsula,56.17,-159.38,2507,Stratovolcano,Historical,D1
1702-01=,Vestmannaeyjar,Iceland,Iceland-S,63.43,-20.28,279,Submarine volcano,Historical,D1
1508-061,"Viedma, Volcan",Argentina,Argentina,-49.358,-73.28,1300,Subglacial volcano,Historical,D1
1507-12=,Villarrica,Chile,Chile-C,-39.42,-71.93,2847,Stratovolcano,Historical,D1
0403-13-,West Mata,Tonga,Tonga-SW Pacific,-15.1,-173.75,-1174,Submarine volcano,Historical,D1
1101-34-,Westdahl,United States,Aleutian Is,54.52,-164.65,1654,Stratovolcano,Historical,D1
0401-04=,White Island,New Zealand,New Zealand,-37.52,177.18,321,Stratovolcano,Historical,D1
1503-02=,"Wolf, Volcan",Ecuador,Galapagos,0.02,-91.35,1710,Shield volcano,Historical,D1
0803-07=,Yake-dake,Japan,Honshu-Japan,36.22,137.58,2455,Stratovolcano,Historical,D1
0507-10=,Yasur,Vanuatu,Vanuatu-SW Pacific,-19.52,169.425,361,Stratovolcano,Historical,D1
1000-04=,Zheltovsky,Russia,Kamchatka,51.57,157.323,1953,Stratovolcano,Historical,D1
